Date,Open,High,Low,Close,Volume
2014-09-30,321.36,323.43,318.51,322.44,2584383.0
2014-09-29,320.5,323.75,319.0,321.82,1929589.0
2014-09-26,320.6,323.5,317.64,323.21,3639155.0
2014-09-25,327.99,328.54,321.4,321.93,2934944.0
2014-09-24,324.17,329.44,319.56,328.21,2647232.0
2014-09-23,322.46,327.6,321.25,323.63,2353590.0
2014-09-22,328.49,329.49,321.06,324.5,3118649.0
2014-09-19,327.6,332.76,325.57,331.32,6886382.0
2014-09-18,325.44,327.1,323.71,325.0,2577706.0
2014-09-17,327.76,328.0,321.52,324.0,4138950.0
2014-09-16,321.07,329.48,320.1,327.76,3265860.0
2014-09-15,330.91,331.33,319.0,323.89,4006918.0
2014-09-12,329.56,332.89,328.79,331.19,3429727.0
2014-09-11,329.94,333.01,326.39,330.52,2721893.0
2014-09-10,334.3,334.98,328.82,331.33,3798904.0
2014-09-09,341.61,341.76,329.18,329.75,4646832.0
2014-09-08,344.54,345.81,339.04,342.34,2960693.0
2014-09-05,346.3,346.83,342.5,346.38,2111220.0
2014-09-04,343.69,349.38,343.58,345.95,3965557.0
2014-09-03,342.54,343.27,337.55,339.0,1998540.0
2014-09-02,339.98,342.5,337.16,342.38,2328881.0
2014-08-29,341.76,341.82,337.68,339.04,1939848.0
2014-08-28,340.0,341.79,338.8,340.02,2254725.0
2014-08-27,342.09,346.67,341.34,343.18,2961767.0
2014-08-26,337.0,344.36,334.55,341.83,3654702.0
2014-08-25,333.21,336.77,332.71,334.02,1960978.0
2014-08-22,332.99,334.08,330.8,331.59,2212965.0
2014-08-21,336.48,336.58,332.23,332.91,1975792.0
2014-08-20,334.68,337.16,334.02,335.78,1811462.0
2014-08-19,334.87,335.81,333.01,335.13,1714120.0
2014-08-18,335.48,337.8,333.77,334.53,2488186.0
2014-08-15,334.0,335.0,328.32,333.63,3897928.0
2014-08-14,327.8,334.09,326.71,333.21,3420646.0
2014-08-13,327.6,331.72,326.14,326.28,4945094.0
2014-08-12,318.89,321.31,316.95,319.32,1916143.0
2014-08-11,318.48,320.38,316.88,318.33,2472819.0
2014-08-08,311.94,317.32,310.66,316.8,2708416.0
2014-08-07,315.21,315.88,309.66,311.45,2936913.0
