Date,Open,High,Low,Close,Volume
2014-09-30,52.08,52.49,51.63,51.82,21354297.0
2014-09-29,51.75,52.26,51.32,52.05,13010419.0
2014-09-26,51.99,52.59,51.96,52.49,10481508.0
2014-09-25,53.23,53.27,51.96,51.96,19267206.0
2014-09-24,52.9,53.32,52.49,53.26,15611620.0
2014-09-23,52.74,53.25,52.74,52.84,14586137.0
2014-09-22,53.44,53.74,52.96,53.04,16657044.0
2014-09-19,53.98,54.13,53.26,53.48,22154768.0
2014-09-18,52.7,53.9,52.48,53.66,27309035.0
2014-09-17,52.32,53.05,52.22,52.39,20380500.0
2014-09-16,52.12,52.41,51.91,52.36,13221509.0
2014-09-15,52.37,52.52,51.92,52.31,12808745.0
2014-09-12,52.2,52.86,52.09,52.38,18335563.0
2014-09-11,51.61,52.26,51.52,52.23,14084267.0
2014-09-10,51.24,51.99,51.18,51.83,13014287.0
2014-09-09,51.64,51.78,51.12,51.26,14586166.0
2014-09-08,52.16,52.77,51.91,52.05,13562535.0
2014-09-05,52.31,52.48,51.72,52.3,17488894.0
2014-09-04,52.25,52.88,52.22,52.47,15695769.0
2014-09-03,52.24,52.53,52.04,52.23,15118118.0
2014-09-02,51.78,51.98,51.44,51.96,11454605.0
2014-08-29,51.53,51.83,51.46,51.65,8982315.0
2014-08-28,51.52,51.62,51.28,51.39,10259774.0
2014-08-27,52.12,52.27,51.68,51.86,13402767.0
2014-08-26,51.52,52.39,51.46,52.13,18390606.0
2014-08-25,51.28,51.99,51.28,51.63,17511450.0
2014-08-22,50.94,51.66,50.73,50.93,20003962.0
2014-08-21,49.97,51.22,49.8,51.07,24162422.0
2014-08-20,49.63,49.92,49.46,49.8,9040262.0
2014-08-19,49.53,50.25,49.52,49.7,13076781.0
2014-08-18,49.05,49.58,48.97,49.51,13204359.0
2014-08-15,49.29,49.48,48.32,48.72,16216279.0
2014-08-14,48.83,49.14,48.74,49.13,9693103.0
2014-08-13,48.62,48.89,48.53,48.75,8602616.0
2014-08-12,48.21,48.68,48.05,48.44,9245079.0
2014-08-11,48.55,48.6,48.23,48.39,9131364.0
2014-08-08,48.06,48.5,47.78,48.45,12001531.0
2014-08-07,48.5,48.63,47.89,48.06,12376985.0
2014-08-06,47.75,48.53,47.75,48.14,13038932.0
2014-08-05,48.26,48.49,47.65,47.89,15915259.0
2014-08-04,48.45,48.5,48.06,48.34,14277723.0
2014-08-01,48.59,49.03,47.9,48.1,21826368.0
2014-07-31,49.56,49.92,48.91,48.91,23550926.0
2014-07-30,49.67,50.27,49.63,50.0,15327634.0
2014-07-29,49.73,49.86,49.42,49.42,13169454.0
2014-07-28,49.95,50.08,49.54,49.7,12071593.0
2014-07-25,49.99,50.2,49.94,50.03,10090369.0
2014-07-24,50.22,50.47,49.96,50.09,13282578.0
2014-07-23,49.61,50.59,49.36,50.18,20100337.0
2014-07-22,49.6,49.83,49.38,49.6,13125779.0
2014-07-21,49.16,49.47,49.07,49.35,10921547.0
2014-07-18,49.49,49.81,49.31,49.56,15455815.0
2014-07-17,49.5,49.98,49.16,49.18,23847648.0
2014-07-16,49.49,49.87,49.4,49.82,23598280.0
2014-07-15,48.82,49.46,48.82,49.29,34425773.0
2014-07-14,48.67,48.83,48.35,48.42,36157806.0
2014-07-11,46.82,47.01,46.57,47.0,15205668.0
2014-07-10,46.71,47.05,46.55,46.9,18671999.0
2014-07-09,47.47,47.67,47.2,47.38,14196244.0
2014-07-08,47.7,47.73,47.25,47.42,13808777.0
2014-07-07,48.05,48.11,47.59,47.98,12052820.0
2014-07-03,48.38,48.71,48.07,48.24,13643117.0
2014-07-02,47.54,48.25,47.5,48.01,16779082.0
2014-07-01,47.42,47.9,47.22,47.46,16703029.0
2014-06-30,47.16,47.3,47.01,47.1,12297917.0
2014-06-27,47.22,47.34,46.92,47.14,19164205.0
2014-06-26,47.71,47.74,47.03,47.23,18878483.0
2014-06-25,47.67,48.07,47.56,47.82,12706655.0
2014-06-24,47.85,48.48,47.71,47.81,16920684.0
2014-06-23,47.13,48.18,47.1,48.06,18434132.0
2014-06-20,47.77,47.82,47.07,47.34,18833091.0
2014-06-19,47.95,47.97,47.34,47.56,15756633.0
2014-06-18,47.77,48.0,47.41,47.93,14472986.0
2014-06-17,47.48,48.05,47.35,47.79,13951109.0
2014-06-16,47.47,47.78,47.04,47.64,12791370.0
2014-06-13,48.14,48.67,47.12,47.59,34838669.0
2014-06-12,48.62,48.71,48.1,48.27,15672968.0
2014-06-11,49.03,49.27,48.64,48.81,13944243.0
2014-06-10,49.49,49.5,48.99,49.33,12771225.0
2014-06-09,48.99,49.59,48.95,49.58,14237461.0
2014-06-06,48.7,49.2,48.62,48.93,19151076.0
2014-06-05,48.01,48.8,47.89,48.63,17054195.0
2014-06-04,48.04,48.2,47.82,47.88,13077819.0
2014-06-03,47.51,48.26,47.46,48.19,16107418.0
2014-06-02,47.6,47.96,47.43,47.76,11890290.0
2014-05-30,47.19,47.6,47.15,47.57,11540295.0
2014-05-29,47.35,47.5,47.21,47.28,15554537.0
2014-05-28,47.48,47.89,47.31,47.32,14179968.0
2014-05-27,47.62,48.35,47.41,47.57,24507605.0
2014-05-23,47.23,47.4,47.09,47.29,9572844.0
2014-05-22,46.78,47.15,46.77,47.14,12713467.0
2014-05-21,46.83,47.09,46.69,46.85,12823793.0
2014-05-20,46.62,46.95,46.38,46.55,11792403.0
2014-05-19,46.1,46.79,46.08,46.77,13631001.0
2014-05-16,46.44,46.68,46.17,46.44,17188597.0
2014-05-15,46.85,46.94,46.15,46.52,21179067.0
2014-05-14,47.5,47.51,46.98,47.12,12406415.0
2014-05-13,47.35,47.49,47.23,47.42,12615169.0
2014-05-12,47.22,47.4,47.04,47.27,13308290.0
2014-05-09,47.04,47.23,46.71,46.99,15185788.0
2014-05-08,46.7,47.49,46.7,47.14,16067736.0
2014-05-07,46.54,46.83,46.32,46.7,17502520.0
