Date,AAPL,AMZN,BAC,C,F,GE,GOOG,INTC,JPM,KO,MA,MRK,MS,MSFT,PG,V,WFC,XOM
2014-09-30,100.75,322.44,17.05,51.82,14.79,25.62,577.36,34.82,60.24,42.66,73.92,59.28,34.57,46.36,83.74,213.37,51.87,94.05
2014-09-29,100.11,321.82,17.01,52.05,15.11,25.42,576.36,34.9,60.33,42.25,74.52,59.41,34.5,46.44,84.44,210.93,51.69,94.43
2014-09-26,100.75,323.21,17.03,52.49,16.33,25.63,577.1,34.26,60.56,42.2,75.06,59.39,34.65,46.41,84.58,211.94,51.87,95.43
2014-09-25,97.87,321.93,16.85,51.96,16.2,25.55,575.06,34.14,60.15,41.78,74.72,59.64,34.22,46.04,84.33,210.71,51.41,94.25
2014-09-24,101.75,328.21,17.18,53.26,16.41,25.93,587.99,34.75,61.63,42.27,77.05,60.36,34.98,47.08,85.24,214.41,52.13,95.82
2014-09-23,102.64,323.63,17.05,52.84,16.17,26.02,581.13,34.42,60.94,41.89,75.51,60.28,35.02,46.56,84.44,212.46,52.1,96.03
2014-09-22,101.06,324.5,17.03,53.04,16.36,26.08,587.37,34.71,60.91,42.22,76.16,60.58,35.18,47.06,84.81,213.88,52.9,96.54
2014-09-19,100.96,331.32,16.95,53.48,16.65,26.29,596.08,34.82,61.11,42.05,77.28,60.49,35.76,47.52,84.47,216.25,53.36,97.12
2014-09-18,101.79,325.0,17.04,53.66,16.58,26.21,589.27,35.17,61.32,41.79,77.8,60.31,36.13,46.68,84.19,216.44,53.24,96.61
2014-09-17,101.58,324.0,16.77,52.39,16.53,26.27,584.77,34.98,60.31,41.61,76.22,59.88,35.56,46.52,84.16,215.53,52.51,97.08
2014-09-16,100.86,327.76,16.71,52.36,16.52,26.21,579.95,34.93,59.99,41.64,76.59,59.99,35.11,46.76,84.08,217.3,52.31,97.43
2014-09-15,101.63,323.89,16.74,52.31,16.47,25.92,573.1,34.54,59.94,41.5,75.24,59.52,35.21,46.24,83.87,214.64,51.94,96.29
2014-09-12,101.66,331.19,16.79,52.38,16.59,25.87,575.62,34.62,60.03,41.46,75.47,59.55,35.01,46.7,83.26,214.04,51.7,95.78
2014-09-11,101.43,330.52,16.57,52.23,16.66,26.02,581.35,35.02,59.76,41.95,75.62,60.1,34.73,47.0,83.49,214.95,51.59,97.03
2014-09-10,101.0,331.33,16.36,51.83,16.63,25.95,583.1,35.02,59.22,42.17,76.65,60.76,34.33,46.84,83.64,216.88,51.52,96.81
2014-09-09,97.99,329.75,16.14,51.26,16.63,25.9,581.01,34.91,59.06,41.94,76.07,60.56,33.91,46.76,82.99,214.28,51.07,97.39
2014-09-08,98.36,342.34,16.35,52.05,16.8,26.08,589.72,35.33,59.89,41.78,76.23,61.05,34.86,46.47,83.32,215.77,51.47,97.77
2014-09-05,98.97,346.38,16.02,52.3,17.14,26.1,586.08,35.0,59.91,41.84,76.86,61.18,34.63,45.91,83.77,214.21,51.65,99.26
2014-09-04,98.12,345.95,16.11,52.47,17.27,25.96,581.98,34.9,59.71,41.87,76.38,60.08,34.7,45.26,83.7,214.26,51.57,98.36
2014-09-03,98.94,339.0,16.1,52.23,17.47,25.95,577.94,34.57,59.7,41.78,75.94,60.48,34.56,44.96,82.9,214.9,51.55,99.11
2014-09-02,103.3,342.38,16.27,51.96,17.6,25.85,577.33,34.57,59.67,41.64,75.58,59.79,34.55,45.09,82.98,214.73,51.57,98.49
2014-08-29,102.5,339.04,16.09,51.65,17.41,25.98,571.6,34.92,59.45,41.72,75.81,60.11,34.31,45.43,83.11,212.52,51.44,99.46
2014-08-28,102.25,340.02,16.01,51.39,17.42,26.01,569.2,34.65,59.16,41.63,76.16,60.0,34.06,44.88,83.03,214.6,51.15,99.57
2014-08-27,102.13,343.18,16.2,51.86,17.36,26.13,571.0,34.79,59.59,41.6,76.64,60.28,34.13,44.87,83.31,217.13,51.34,99.53
2014-08-26,100.89,341.83,16.33,52.13,17.19,26.01,577.86,34.8,59.74,41.6,77.0,60.2,34.4,45.0,83.38,216.73,51.56,99.64
2014-08-25,101.54,334.02,16.29,51.63,17.23,26.2,580.2,34.81,59.34,41.41,76.43,59.73,34.2,45.17,83.54,216.02,51.45,98.75
2014-08-22,101.32,331.59,16.13,50.93,17.17,26.15,582.56,34.94,58.49,41.12,76.48,59.17,33.47,45.15,83.39,216.09,51.18,98.5
2014-08-21,100.58,332.91,16.16,51.07,17.4,26.43,583.37,35.15,58.5,41.41,76.99,58.85,33.03,45.22,83.28,215.75,51.29,99.28
2014-08-20,100.57,335.78,15.52,49.8,17.41,26.36,584.49,34.5,57.64,41.25,76.39,59.48,32.54,44.95,82.81,216.2,50.85,99.7
2014-08-19,100.53,335.13,15.45,49.7,17.36,26.05,586.86,34.34,57.56,41.26,76.4,58.91,32.53,45.33,82.69,215.0,50.86,99.49
2014-08-18,99.16,334.53,15.45,49.51,17.43,26.07,582.16,34.41,57.23,41.35,76.77,58.42,32.61,45.11,82.44,214.32,50.69,99.52
2014-08-15,97.98,333.63,15.22,48.72,17.31,25.64,573.48,34.17,56.75,40.88,75.21,58.61,32.22,44.79,81.78,210.19,50.21,99.03
2014-08-14,97.5,333.21,15.32,49.13,17.43,25.88,574.65,33.94,56.98,40.18,76.05,58.78,32.17,44.27,81.95,212.52,50.38,99.09
2014-08-13,97.24,326.28,15.25,48.75,17.42,25.83,574.78,34.1,56.72,39.94,76.3,57.85,32.02,44.08,81.48,211.43,49.99,99.09
2014-08-12,95.97,319.32,15.21,48.44,17.21,25.61,562.73,33.13,56.35,39.68,75.63,57.03,32.01,43.52,81.42,210.3,49.78,98.49
2014-08-11,95.99,318.33,15.22,48.39,17.17,25.79,567.88,33.02,56.32,39.57,75.63,56.66,32.08,43.2,81.48,210.58,49.89,98.73
2014-08-08,94.74,316.8,15.2,48.45,17.09,25.66,568.77,32.6,56.34,39.45,75.17,56.55,31.95,43.2,80.95,210.46,50.0,99.74
2014-08-07,94.48,311.45,15.12,48.06,16.82,25.5,563.36,32.68,55.91,39.35,74.06,55.64,31.36,43.23,80.14,209.04,49.7,98.27
2014-08-06,94.96,313.89,15.2,48.14,16.98,25.44,566.37,32.84,56.23,39.92,75.36,55.93,31.56,42.74,81.09,210.69,50.06,98.98
2014-08-05,95.12,312.32,15.0,47.89,16.87,25.02,565.07,32.82,56.06,39.18,75.2,56.03,31.41,43.08,79.41,210.54,50.4,98.2
2014-08-04,95.59,313.65,15.05,48.34,17.02,25.27,573.15,34.05,56.65,39.4,75.68,57.06,31.83,43.37,79.22,212.16,50.99,100.13
2014-08-01,96.13,307.06,14.98,48.1,16.81,25.35,566.07,33.74,56.48,39.29,74.98,56.8,31.6,42.86,79.65,211.81,50.35,98.8
2014-07-31,95.6,312.99,15.25,48.91,17.02,25.15,571.6,33.89,57.67,39.29,74.15,56.74,32.34,43.16,77.32,211.01,50.9,98.94
2014-07-30,98.15,322.51,15.58,50.0,17.46,25.64,587.42,34.35,58.91,39.62,75.91,58.08,33.34,43.58,78.16,214.06,52.1,103.25
2014-07-29,98.38,320.0,15.34,49.42,17.57,25.45,585.61,34.19,58.64,40.35,75.89,58.58,32.65,43.88,78.65,213.5,51.54,103.55
2014-07-28,99.02,320.41,15.5,49.7,17.64,25.59,590.6,34.23,59.19,40.68,76.19,57.97,33.07,43.97,79.26,214.22,51.6,104.37
2014-07-25,97.67,324.01,15.59,50.03,17.62,25.79,589.02,34.25,59.01,41.0,75.75,58.15,33.24,44.5,79.56,214.77,51.6,103.18
2014-07-24,97.03,358.61,15.62,50.09,17.84,25.94,593.35,34.25,59.17,40.97,77.57,58.21,33.4,44.4,80.26,222.74,51.59,104.28
2014-07-23,97.19,358.14,15.52,50.18,17.78,25.91,595.98,34.5,59.0,40.81,77.74,58.11,33.35,44.87,79.99,221.2,51.33,104.25
2014-07-22,94.72,360.84,15.52,49.6,17.82,26.02,594.74,34.79,58.67,41.19,78.27,58.43,32.91,44.83,80.1,221.26,51.35,103.54
2014-07-21,93.94,359.76,15.52,49.35,17.7,25.98,589.47,34.06,58.24,42.4,77.35,58.0,32.55,44.84,80.28,219.22,51.05,103.08
2014-07-18,94.43,358.66,15.49,49.56,17.72,26.46,595.08,33.7,58.23,42.43,77.5,58.34,32.64,44.69,80.55,220.2,51.28,102.73
2014-07-17,93.09,352.45,15.2,49.18,17.74,26.61,573.73,33.7,57.86,42.02,76.39,57.6,32.3,44.53,80.4,217.88,50.68,102.31
2014-07-16,94.78,355.9,15.51,49.82,17.8,27.02,582.66,34.65,58.71,42.12,78.31,58.15,32.5,44.08,80.94,222.67,51.17,103.77
2014-07-15,95.32,354.44,15.81,49.29,17.54,26.61,584.78,31.71,58.27,42.1,78.32,57.91,32.0,42.45,81.26,221.78,51.35,102.39
2014-07-14,96.45,355.32,15.57,48.42,17.55,26.66,584.87,31.49,56.29,42.38,77.33,58.18,31.81,42.14,81.32,221.03,51.31,102.68
2014-07-11,95.22,346.2,15.38,47.0,17.47,26.55,579.18,31.25,55.8,41.97,75.83,58.44,31.41,42.09,81.16,217.0,51.49,101.74
2014-07-10,95.04,327.92,15.44,46.9,17.3,26.2,571.1,31.26,55.56,42.26,75.47,58.58,31.68,41.68,81.61,215.54,51.81,102.57
2014-07-09,95.39,329.97,15.6,47.38,17.43,26.32,576.08,30.89,56.02,41.95,76.63,58.55,32.01,41.67,81.67,216.16,52.19,103.55
2014-07-08,95.35,323.81,15.58,47.42,17.11,26.37,571.09,30.79,55.76,41.94,75.69,58.17,31.75,41.78,80.56,215.26,52.25,102.83
2014-07-07,95.97,333.55,15.94,47.98,17.32,26.75,582.25,31.03,56.67,42.14,76.18,58.52,32.39,41.99,80.19,216.74,52.5,102.65
2014-07-03,94.03,337.49,16.03,48.24,17.32,26.86,584.73,31.14,57.05,42.23,76.74,59.2,32.62,41.8,79.98,216.51,53.0,102.59
2014-07-02,93.48,332.85,15.85,48.01,17.22,26.61,582.34,30.98,56.97,42.29,76.2,59.05,32.49,41.9,79.56,214.84,52.66,101.57
2014-07-01,93.52,332.39,15.6,47.46,17.21,26.4,582.67,30.98,57.57,42.29,75.53,58.51,32.32,41.87,79.28,214.25,52.72,101.36
2014-06-30,92.93,324.78,15.37,47.1,17.24,26.28,575.28,30.9,57.62,42.36,73.47,57.85,32.33,41.7,78.59,210.71,52.56,100.68
2014-06-29,91.98,,,,,,,,,,,,,,,,,
2014-06-27,91.98,324.57,15.33,47.14,17.28,26.43,577.24,30.93,57.53,42.19,73.4,57.53,31.55,42.25,79.02,209.28,52.9,101.21
2014-06-26,90.9,325.69,15.41,47.23,17.2,26.29,576.0,30.78,57.39,42.03,72.77,58.53,31.89,41.72,78.62,208.96,52.37,102.03
2014-06-25,90.36,327.44,15.47,47.82,17.2,26.42,578.65,30.88,57.53,41.96,73.04,58.86,32.23,42.03,79.32,209.06,52.6,102.14
2014-06-24,90.28,324.16,15.49,47.81,16.97,26.58,564.62,30.5,57.42,41.85,72.7,57.92,32.03,41.74,79.01,207.79,52.49,102.73
2014-06-23,90.83,327.24,15.64,48.06,16.88,26.68,564.95,30.23,58.19,41.73,74.14,58.5,32.52,41.99,79.52,209.47,52.98,104.38
2014-06-20,90.91,324.2,15.45,47.34,16.67,26.97,556.36,30.2,57.55,41.69,73.81,58.92,32.29,41.68,79.93,209.49,52.89,103.83
2014-06-19,91.86,327.0,15.55,47.56,16.78,26.93,554.9,30.09,57.3,41.79,74.27,58.3,32.54,41.51,80.24,210.32,52.02,102.63
2014-06-18,92.18,334.38,15.65,47.93,16.83,26.89,553.37,29.93,57.78,41.56,75.12,58.41,32.66,41.65,79.79,211.25,52.04,102.73
2014-06-17,92.08,325.62,15.59,47.79,16.79,26.87,543.01,29.95,57.42,40.92,74.98,58.06,32.5,41.68,79.58,210.81,51.66,102.42
2014-06-16,92.2,327.62,15.28,47.64,16.63,26.82,544.28,30.01,56.87,40.66,75.11,58.07,31.71,41.5,79.69,210.24,51.09,102.92
2014-06-13,91.28,326.27,15.44,47.59,16.56,27.04,551.76,29.87,57.04,40.37,75.94,58.24,31.59,41.23,79.64,211.29,51.9,102.65
2014-06-12,92.29,325.91,15.42,48.27,16.52,26.96,551.35,27.96,57.04,40.42,75.72,58.3,31.73,40.58,79.76,211.77,51.71,101.66
2014-06-11,93.86,335.2,15.59,48.81,16.9,27.15,558.84,27.93,57.27,40.86,76.87,58.81,31.69,40.86,80.06,212.68,52.24,101.95
2014-06-10,94.25,332.41,15.92,49.33,17.01,27.41,560.55,28.24,57.9,41.07,77.36,58.49,32.08,41.11,80.15,214.25,52.59,101.46
2014-06-09,93.7,327.5,15.84,49.58,17.0,27.44,562.12,27.91,57.42,40.91,76.86,57.94,31.98,41.27,80.09,212.58,52.51,101.52
2014-06-06,92.22,329.67,15.59,48.93,17.08,27.18,556.33,28.17,56.97,40.99,77.47,57.85,31.95,41.48,80.03,213.0,51.98,101.6
2014-06-05,92.48,323.57,15.43,48.63,16.68,26.77,553.9,27.66,56.63,40.89,76.84,58.1,31.63,41.21,80.11,212.22,51.63,100.55
2014-06-04,92.12,306.78,15.21,47.88,16.79,26.55,544.66,27.6,55.68,40.79,76.32,57.93,31.2,40.32,79.86,211.43,51.04,100.04
2014-06-03,91.08,307.19,15.21,48.19,16.55,26.79,544.94,27.66,55.6,40.88,76.35,57.91,30.85,40.29,79.93,211.32,51.09,100.39
2014-06-02,89.81,308.84,15.26,47.76,16.44,26.83,553.93,27.26,55.35,40.86,77.05,57.93,30.9,40.79,80.36,213.52,51.09,99.94
2014-05-30,90.43,312.55,15.14,47.57,16.44,26.79,559.89,27.32,55.57,40.91,76.45,57.86,30.86,40.94,80.79,214.83,50.78,100.53
2014-05-29,90.77,313.78,15.15,47.28,16.54,26.74,560.08,26.96,55.72,40.66,76.79,57.7,31.13,40.34,80.4,214.67,50.27,101.27
2014-05-28,89.14,310.16,15.14,47.32,16.31,26.66,561.68,26.88,55.45,40.58,76.93,56.4,30.93,40.01,80.1,213.8,50.44,101.06
2014-05-27,89.38,310.82,15.22,47.57,16.16,26.57,565.95,26.71,55.14,40.77,77.03,56.69,31.12,40.19,80.08,214.5,50.55,101.36
2014-05-23,87.73,312.24,14.72,47.29,16.02,26.51,552.7,26.29,54.53,40.58,76.45,56.81,30.49,40.12,80.52,212.07,50.16,101.32
2014-05-22,86.75,304.91,14.71,47.14,15.91,26.51,545.06,26.15,54.55,40.58,75.75,56.49,30.39,40.1,80.65,209.37,49.99,101.5
2014-05-21,86.62,305.01,14.61,46.85,15.91,26.49,538.94,26.2,54.12,40.87,75.63,56.58,30.01,40.35,80.49,210.1,49.67,102.03
2014-05-20,86.39,301.19,14.53,46.55,15.77,26.3,529.77,26.04,53.72,40.58,73.65,56.0,29.71,39.68,80.23,207.92,48.96,100.67
2014-05-19,86.37,296.76,14.67,46.77,15.92,26.61,528.86,26.04,53.83,40.71,73.86,56.35,30.16,39.75,79.93,210.36,49.49,100.87
2014-05-16,85.36,297.7,14.51,46.44,15.76,26.67,520.63,25.82,53.31,40.89,73.75,55.87,30.14,39.83,80.33,209.81,49.08,100.74
2014-05-15,84.12,295.19,14.55,46.52,15.69,26.6,519.98,26.01,53.51,40.52,73.08,55.89,29.77,39.6,80.53,207.45,49.03,100.78
2014-05-14,84.84,297.62,14.84,47.12,15.75,26.76,526.65,26.33,54.36,40.89,74.1,56.37,30.25,40.24,81.17,209.86,49.29,102.29
2014-05-13,84.82,304.64,15.03,47.42,15.86,26.92,533.09,26.45,54.62,41.11,74.83,55.75,30.33,40.42,81.61,212.06,49.81,102.36
2014-05-12,84.69,302.86,15.07,47.27,15.84,26.85,529.92,26.37,54.65,40.82,75.02,55.29,30.33,39.97,81.73,211.7,49.76,102.23
2014-05-09,83.65,292.24,14.74,46.99,15.77,26.42,518.73,26.3,54.01,40.87,74.38,55.21,29.68,39.54,82.39,210.81,49.08,101.95
2014-05-08,84.0,288.32,14.93,47.14,15.81,26.44,511.0,26.34,54.36,40.73,74.24,54.83,29.69,39.64,82.16,210.9,49.33,102.32
2014-05-07,84.62,292.71,14.8,46.7,15.46,26.53,509.96,26.37,54.05,40.91,73.87,55.84,29.7,39.42,82.09,208.7,49.39,103.11
2014-05-06,84.92,297.38,14.73,46.36,15.56,26.19,515.14,26.2,53.34,40.49,73.81,57.11,29.46,39.06,81.13,205.36,49.09,102.67
2014-05-05,85.85,310.05,15.08,47.18,15.74,26.58,527.81,26.17,54.22,40.76,74.82,58.63,30.07,39.43,81.7,207.13,49.56,102.91
2014-05-02,84.65,308.01,15.25,47.73,15.9,26.68,527.93,26.41,55.58,40.95,73.78,58.22,30.69,39.69,81.92,204.42,49.58,102.01
2014-05-01,84.5,307.89,15.09,47.76,15.91,26.77,531.35,26.45,55.72,40.78,74.22,59.62,31.22,40.0,82.34,206.09,49.64,101.41
2014-04-30,84.3,304.13,15.14,47.91,16.15,26.89,526.66,26.69,55.98,40.79,73.55,58.56,30.93,40.4,82.55,202.61,49.64,102.41
2014-04-29,84.62,300.38,15.24,48.16,16.12,26.76,527.7,26.48,56.1,40.57,72.03,58.72,30.52,40.51,82.44,202.67,49.47,101.45
2014-04-28,84.87,296.58,14.95,47.3,15.97,26.78,517.15,26.33,55.49,41.03,71.24,56.68,29.99,40.87,82.94,201.42,48.94,101.17
2014-04-25,81.71,303.83,15.95,47.75,15.78,26.6,516.18,26.26,55.7,41.01,70.66,57.24,30.58,39.91,81.41,198.93,49.05,100.41
2014-04-24,81.11,337.15,16.34,48.33,16.32,26.46,525.16,26.75,56.19,40.7,74.35,57.53,30.94,39.86,81.15,209.4,49.32,100.01
2014-04-23,74.96,324.58,16.37,48.4,16.23,26.42,526.94,26.75,56.05,40.73,73.36,57.5,31.04,39.69,80.36,208.82,49.59,100.5
2014-04-22,75.96,329.32,16.29,48.02,16.1,26.58,534.81,26.84,55.81,40.71,74.53,57.77,31.2,39.99,81.25,209.97,49.23,100.37
2014-04-21,75.88,330.87,16.09,47.84,15.98,26.59,528.62,26.95,55.03,40.75,74.31,57.25,30.98,39.94,81.56,209.13,49.12,100.93
2014-04-17,74.99,324.91,16.15,48.22,16.0,26.56,536.1,27.04,55.22,40.72,74.13,56.47,30.76,40.01,81.76,207.95,48.93,100.42
2014-04-16,74.14,323.68,16.13,48.18,16.07,26.12,556.54,26.93,55.26,40.59,73.93,56.26,29.89,40.4,81.65,209.36,49.09,99.94
2014-04-15,73.99,316.08,16.39,48.31,15.84,25.82,536.44,26.77,54.8,40.18,72.15,56.05,29.55,39.75,80.84,204.05,48.78,98.68
2014-04-14,74.53,315.91,16.0,47.67,15.7,25.71,532.52,26.56,54.96,38.73,71.18,55.57,29.06,39.18,80.81,201.01,48.11,97.86
2014-04-11,74.23,311.73,15.77,45.68,15.63,25.43,530.6,26.18,55.3,38.63,68.68,55.92,28.47,39.21,80.76,196.63,48.08,96.72
2014-04-10,74.78,317.11,16.12,46.23,15.63,25.58,540.95,26.42,57.4,38.89,71.17,55.85,29.25,39.36,81.09,201.55,47.71,96.78
2014-04-09,75.76,331.8,16.62,47.16,15.84,25.95,564.14,26.98,59.27,38.99,73.56,57.1,30.22,40.47,81.49,207.54,49.1,97.33
2014-04-08,74.78,327.07,16.44,46.6,16.1,25.75,554.9,26.91,58.85,38.9,71.52,55.04,29.53,39.82,81.35,202.59,48.83,97.45
2014-04-07,74.78,317.76,16.38,46.55,15.94,25.85,538.15,26.48,59.0,38.62,71.33,55.19,29.52,39.8,80.49,203.41,48.66,96.78
2014-04-04,75.97,323.0,16.72,47.11,16.13,26.02,543.14,26.16,59.81,38.22,72.18,56.12,30.37,39.87,79.77,207.7,49.56,97.36
2014-04-03,76.97,333.62,17.15,47.68,16.39,26.23,569.74,26.41,60.66,38.07,74.53,56.21,30.95,41.01,80.1,215.01,49.83,97.93
2014-04-02,77.51,341.96,17.23,48.24,16.46,26.04,566.98,25.89,60.48,38.33,74.7,56.46,31.41,41.35,80.13,214.66,49.76,97.95
2014-04-01,77.38,342.99,17.34,47.8,16.32,25.87,566.88,25.99,60.67,38.41,74.81,56.37,31.21,41.42,80.34,214.7,49.77,97.73
