Date,Open,High,Low,Close,Volume
2014-09-30,32.24,32.54,31.67,31.94,24790809.0
2014-09-29,32.97,33.16,31.98,32.22,19710870.0
2014-09-26,33.04,33.3,32.94,33.17,9417602.0
2014-09-25,33.57,33.65,32.83,32.87,12309199.0
2014-09-24,33.33,33.68,33.02,33.65,10665413.0
2014-09-23,33.24,33.58,33.14,33.22,8731869.0
2014-09-22,33.74,33.84,33.08,33.44,11179986.0
2014-09-19,34.23,34.24,33.77,33.94,14521399.0
2014-09-18,33.93,34.22,33.93,34.03,8930996.0
2014-09-17,33.72,34.14,33.67,33.85,10300998.0
2014-09-16,33.49,33.95,33.45,33.71,11082986.0
2014-09-15,33.16,33.8,33.15,33.63,12509935.0
2014-09-12,33.48,33.6,33.1,33.27,11077878.0
2014-09-11,33.16,33.7,33.15,33.61,10189065.0
2014-09-10,33.12,33.34,33.06,33.29,10470992.0
2014-09-09,33.2,33.3,33.01,33.07,11861015.0
2014-09-08,34.03,34.15,33.15,33.24,22120618.0
2014-09-05,34.59,34.61,34.23,34.58,13671830.0
2014-09-04,34.49,34.92,34.44,34.63,9566331.0
2014-09-03,35.06,35.12,34.46,34.47,11626398.0
2014-09-02,34.88,35.14,34.62,34.8,7825129.0
2014-08-29,34.74,34.85,34.61,34.8,5558114.0
2014-08-28,34.49,34.75,34.22,34.68,5971613.0
2014-08-27,34.92,34.93,34.58,34.71,7118030.0
2014-08-26,34.76,35.0,34.63,34.85,7535007.0
2014-08-25,34.43,34.74,34.31,34.67,9546350.0
2014-08-22,34.51,34.52,34.16,34.24,8665715.0
2014-08-21,34.62,34.73,34.46,34.6,6591929.0
2014-08-20,34.49,34.72,34.3,34.53,9112524.0
2014-08-19,34.69,34.75,34.33,34.57,10422924.0
2014-08-18,34.09,34.44,34.04,34.4,10327204.0
2014-08-15,34.05,34.16,33.51,33.84,14153502.0
2014-08-14,33.81,33.96,33.22,33.95,9956803.0
2014-08-13,33.93,34.07,33.78,33.95,7156084.0
2014-08-12,33.75,34.14,33.55,33.7,10304995.0
2014-08-11,33.64,33.85,33.41,33.8,10873706.0
2014-08-08,33.09,33.56,33.09,33.53,9935602.0
2014-08-07,33.56,33.63,32.8,33.11,13526688.0
2014-08-06,33.23,33.67,33.23,33.4,8715359.0
2014-08-05,33.57,33.8,33.15,33.36,11012536.0
2014-08-04,33.76,34.02,33.5,33.61,11486331.0
2014-08-01,33.79,34.0,33.3,33.44,15343820.0
2014-07-31,34.15,34.24,33.78,33.82,13410713.0
2014-07-30,34.5,34.66,34.01,34.31,18941748.0
2014-07-29,35.01,35.2,34.43,34.45,16560140.0
2014-07-28,35.03,35.09,34.78,34.9,15053589.0
2014-07-25,35.1,35.29,34.56,35.07,28537314.0
2014-07-24,36.67,36.85,35.32,35.74,35694105.0
2014-07-23,37.79,37.92,37.41,37.41,13865052.0
2014-07-22,37.56,37.9,37.53,37.76,9655788.0
2014-07-21,37.38,37.53,37.05,37.43,6633186.0
2014-07-18,37.34,37.42,37.06,37.41,8741972.0
2014-07-17,37.31,37.67,37.01,37.1,11014655.0
2014-07-16,37.77,37.91,37.46,37.48,10954203.0
2014-07-15,37.61,37.95,37.44,37.58,8619649.0
2014-07-14,38.1,38.13,37.56,37.7,9315528.0
2014-07-11,37.72,38.01,37.59,37.95,6203437.0
2014-07-10,37.48,37.9,37.35,37.75,9898910.0
2014-07-09,37.66,38.13,37.63,37.97,11676257.0
2014-07-08,37.41,37.77,37.2,37.58,11786950.0
2014-07-07,37.91,37.91,37.17,37.44,11129925.0
2014-07-03,37.96,38.11,37.72,37.74,6743734.0
2014-07-02,37.5,38.15,37.37,37.74,17672217.0
2014-07-01,36.25,37.64,36.25,37.59,23414138.0
2014-06-30,36.59,36.9,35.98,36.3,20880231.0
2014-06-27,36.73,37.03,36.62,36.62,25428859.0
2014-06-26,36.89,36.97,36.41,36.9,11471585.0
2014-06-25,36.46,37.18,36.45,37.09,12201264.0
2014-06-24,36.62,37.07,36.47,36.58,15032861.0
2014-06-23,36.21,36.8,36.19,36.67,11590338.0
2014-06-20,36.55,36.58,36.1,36.22,14018678.0
2014-06-19,36.35,36.64,36.2,36.37,11277822.0
