Date,Open,High,Low,Close,Volume
2014-09-30,34.9,35.0,34.41,34.82,35274555.0
2014-09-29,34.06,34.99,33.94,34.9,29003106.0
2014-09-26,34.26,34.36,33.63,34.26,25883498.0
2014-09-25,34.68,34.79,33.88,34.14,34644687.0
2014-09-24,34.4,34.85,34.37,34.75,18829270.0
2014-09-23,34.71,34.71,34.38,34.42,25691469.0
2014-09-22,34.78,35.03,34.55,34.71,25448163.0
2014-09-19,35.16,35.22,34.82,34.82,46860142.0
2014-09-18,35.12,35.17,34.86,35.17,23815486.0
2014-09-17,34.91,35.2,34.74,34.98,26278958.0
2014-09-16,34.47,35.08,34.47,34.93,20878492.0
2014-09-15,34.71,34.77,34.23,34.54,22438275.0
2014-09-12,34.9,34.91,34.5,34.62,26733700.0
2014-09-11,34.79,35.02,34.53,35.02,21958239.0
2014-09-10,34.85,35.13,34.67,35.02,19964378.0
2014-09-09,35.29,35.29,34.85,34.91,22334672.0
2014-09-08,34.96,35.56,34.88,35.33,24860766.0
2014-09-05,34.92,35.12,34.83,35.0,20842220.0
2014-09-04,34.53,35.09,34.52,34.9,27633583.0
2014-09-03,34.82,34.88,34.45,34.57,26668973.0
2014-09-02,34.76,34.91,34.43,34.57,32095584.0
2014-08-29,34.81,34.94,34.67,34.92,32305331.0
2014-08-28,34.61,34.81,34.61,34.65,18908864.0
2014-08-27,34.89,34.94,34.63,34.79,17168931.0
2014-08-26,34.79,35.05,34.69,34.8,19664736.0
2014-08-25,35.09,35.15,34.65,34.81,18614486.0
2014-08-22,35.2,35.2,34.91,34.94,21197845.0
2014-08-21,34.46,35.19,34.45,35.15,37164868.0
2014-08-20,34.23,34.51,34.18,34.5,27142650.0
2014-08-19,34.5,34.5,34.25,34.34,29283445.0
2014-08-18,34.26,34.47,33.98,34.41,27233549.0
2014-08-15,34.1,34.21,33.71,34.17,28582224.0
2014-08-14,34.05,34.23,33.74,33.94,25457954.0
2014-08-13,33.24,34.15,33.23,34.1,36291008.0
2014-08-12,32.91,33.15,32.68,33.13,24814652.0
2014-08-11,32.82,33.24,32.81,33.02,27723925.0
2014-08-08,32.78,33.0,32.54,32.6,35489572.0
2014-08-07,32.93,33.15,32.54,32.68,27823411.0
2014-08-06,32.6,33.19,32.39,32.84,27924094.0
2014-08-05,34.05,33.78,32.6,32.82,49851005.0
2014-08-04,33.79,34.09,33.55,34.05,27250118.0
2014-08-01,33.75,34.03,33.61,33.74,33472580.0
2014-07-31,34.09,34.25,33.81,33.89,35432286.0
2014-07-30,34.31,34.57,34.04,34.35,32788878.0
2014-07-29,34.27,34.37,34.09,34.19,26143454.0
2014-07-28,34.23,34.32,33.88,34.23,30975052.0
2014-07-25,34.15,34.37,33.93,34.25,31614014.0
2014-07-24,34.38,34.68,34.1,34.25,33180903.0
2014-07-23,34.68,34.71,34.3,34.5,26078170.0
2014-07-22,34.16,34.83,34.07,34.79,42920550.0
2014-07-21,33.55,34.23,33.54,34.06,32097230.0
2014-07-18,33.8,33.84,33.39,33.7,46530079.0
2014-07-17,34.2,34.36,33.63,33.7,70591117.0
2014-07-16,33.31,34.74,33.21,34.65,135893228.0
2014-07-15,31.58,31.8,31.16,31.71,61218169.0
2014-07-14,31.41,31.58,31.34,31.49,24251533.0
2014-07-11,31.26,31.45,31.04,31.25,20053217.0
2014-07-10,30.6,31.33,30.44,31.26,32458765.0
2014-07-09,30.84,30.98,30.69,30.89,28302427.0
2014-07-08,31.0,31.08,30.7,30.79,37614506.0
2014-07-07,31.09,31.2,30.92,31.03,22237033.0
2014-07-03,31.08,31.36,31.02,31.14,20437633.0
2014-07-02,30.99,31.05,30.8,30.98,16831171.0
2014-07-01,30.99,31.09,30.87,30.98,28240458.0
2014-06-30,30.87,31.0,30.66,30.9,21562544.0
2014-06-27,30.87,31.0,30.7,30.93,30776510.0
2014-06-26,30.81,30.9,30.61,30.78,26728433.0
2014-06-25,30.48,31.0,30.44,30.88,44294569.0
2014-06-24,30.16,30.83,30.09,30.5,53398112.0
2014-06-23,30.1,30.31,29.85,30.23,26529643.0
2014-06-20,30.07,30.2,30.03,30.2,39829862.0
2014-06-19,29.97,30.09,29.89,30.09,27166851.0
2014-06-18,29.88,29.98,29.67,29.93,34412750.0
2014-06-17,29.88,30.1,29.84,29.95,28441218.0
2014-06-16,29.72,30.15,29.67,30.01,36407788.0
2014-06-13,29.75,30.06,29.56,29.87,122194302.0
2014-06-12,27.86,28.1,27.77,27.96,31211438.0
2014-06-11,28.14,28.21,27.8,27.93,27749284.0
2014-06-10,27.85,28.33,27.72,28.24,34260634.0
2014-06-09,28.1,28.42,27.83,27.91,39934314.0
2014-06-06,27.78,28.21,27.73,28.17,34795599.0
2014-06-05,27.56,27.66,27.43,27.66,26546297.0
2014-06-04,27.51,27.76,27.5,27.6,21612727.0
2014-06-03,27.22,27.7,27.12,27.66,33257030.0
2014-06-02,27.31,27.35,27.12,27.26,20265670.0
2014-05-30,26.94,27.32,26.93,27.32,43641005.0
2014-05-29,26.91,26.96,26.72,26.96,20640029.0
2014-05-28,26.7,26.94,26.66,26.88,27150171.0
2014-05-27,26.33,26.74,26.18,26.71,27271940.0
2014-05-23,26.15,26.3,26.14,26.29,17178021.0
