Date,Open,High,Low,Close,Volume
2014-09-30,60.4,60.74,60.13,60.24,14090722.0
2014-09-29,60.03,60.5,59.73,60.33,10694938.0
2014-09-26,60.33,60.88,60.32,60.56,11948887.0
2014-09-25,61.49,61.5,60.15,60.15,16346724.0
2014-09-24,61.18,61.64,61.02,61.63,13728243.0
2014-09-23,60.82,61.4,60.77,60.94,14335620.0
2014-09-22,60.94,61.45,60.8,60.91,13225164.0
2014-09-19,61.74,61.85,60.98,61.11,18740479.0
2014-09-18,60.54,61.4,60.54,61.32,16973697.0
2014-09-17,59.95,60.59,59.82,60.31,15092042.0
2014-09-16,59.71,60.2,59.62,59.99,10950516.0
2014-09-15,59.78,59.99,59.45,59.94,10685630.0
2014-09-12,59.8,60.41,59.75,60.03,14373722.0
2014-09-11,59.18,59.84,58.97,59.76,11468573.0
2014-09-10,59.15,59.56,58.92,59.22,9157691.0
2014-09-09,59.63,59.68,58.78,59.06,14868683.0
2014-09-08,59.84,60.22,59.74,59.89,8090047.0
2014-09-05,59.62,59.91,59.22,59.91,9600894.0
2014-09-04,59.63,60.14,59.43,59.71,9811903.0
2014-09-03,60.02,60.37,59.46,59.7,11792109.0
2014-09-02,59.46,59.71,59.15,59.67,8678222.0
2014-08-29,59.34,59.65,59.23,59.45,8903530.0
2014-08-28,59.25,59.37,58.81,59.16,9096101.0
2014-08-27,59.85,59.95,59.53,59.59,11410860.0
2014-08-26,59.57,59.95,59.38,59.74,10281087.0
2014-08-25,58.98,59.83,58.86,59.34,13996764.0
2014-08-22,58.44,59.08,58.33,58.49,10228569.0
2014-08-21,57.66,58.77,57.6,58.5,12745499.0
2014-08-20,57.42,57.85,57.39,57.64,8121363.0
2014-08-19,57.6,57.72,57.34,57.56,9040484.0
2014-08-18,56.86,57.43,56.76,57.23,8881423.0
2014-08-15,57.24,57.5,56.39,56.75,12727664.0
2014-08-14,56.77,57.0,56.7,56.98,8275920.0
2014-08-13,56.69,56.84,56.51,56.72,7019479.0
2014-08-12,56.23,56.55,56.13,56.35,11290657.0
2014-08-11,56.54,56.58,56.17,56.32,9066796.0
2014-08-08,55.89,56.36,55.64,56.34,12213225.0
2014-08-07,56.63,56.69,55.68,55.91,11743838.0
2014-08-06,55.89,56.69,55.83,56.23,12192567.0
2014-08-05,56.43,56.6,55.6,56.06,16863698.0
2014-08-04,56.91,56.98,56.34,56.65,13547228.0
2014-08-01,57.39,57.49,55.97,56.48,23916665.0
2014-07-31,58.65,58.68,57.66,57.67,15958788.0
2014-07-30,59.02,59.28,58.61,58.91,11821992.0
2014-07-29,59.13,59.13,58.44,58.64,13498827.0
2014-07-28,58.94,59.26,58.67,59.19,12383894.0
2014-07-25,58.92,59.27,58.84,59.01,10500572.0
2014-07-24,59.07,59.35,58.99,59.17,9844323.0
2014-07-23,58.76,59.19,58.52,59.0,11122085.0
2014-07-22,58.42,58.8,58.37,58.67,10376795.0
2014-07-21,58.12,58.41,57.9,58.24,9148506.0
2014-07-18,58.33,58.48,57.9,58.23,12803917.0
2014-07-17,58.56,58.86,57.76,57.86,17015955.0
2014-07-16,58.51,58.98,58.31,58.71,20515604.0
2014-07-15,57.95,58.69,57.76,58.27,36219126.0
2014-07-14,56.53,56.84,56.2,56.29,14011991.0
2014-07-11,55.29,55.9,55.19,55.8,10236860.0
2014-07-10,55.06,55.81,54.96,55.56,12436589.0
2014-07-09,55.88,56.12,55.61,56.02,10914251.0
2014-07-08,56.35,56.47,55.63,55.76,18345729.0
2014-07-07,56.89,56.99,56.4,56.67,13918743.0
2014-07-03,57.23,57.65,57.0,57.05,12599842.0
2014-07-02,57.27,57.48,56.82,56.97,19199260.0
2014-07-01,57.15,57.99,57.08,57.57,14472160.0
2014-06-30,57.44,57.78,57.38,57.62,11549859.0
2014-06-27,57.33,57.7,57.24,57.53,10178566.0
2014-06-26,57.34,57.49,56.6,57.39,11854621.0
2014-06-25,57.22,57.74,56.87,57.53,14843900.0
2014-06-24,57.88,58.12,57.3,57.42,12323320.0
2014-06-23,57.54,58.22,57.24,58.19,16009479.0
2014-06-20,57.69,57.77,57.35,57.55,17126425.0
2014-06-19,57.69,57.69,57.21,57.3,11624383.0
2014-06-18,57.29,57.81,56.95,57.78,13737143.0
2014-06-17,56.79,57.59,56.68,57.42,11200522.0
2014-06-16,56.85,56.95,56.33,56.87,11199075.0
2014-06-13,57.03,57.67,56.88,57.04,12044435.0
2014-06-12,57.07,57.42,56.87,57.04,11677911.0
2014-06-11,57.48,57.79,56.98,57.27,14232171.0
2014-06-10,57.47,57.94,57.39,57.9,11609169.0
2014-06-09,56.91,57.66,56.9,57.42,12000038.0
2014-06-06,56.76,57.13,56.65,56.97,15399844.0
2014-06-05,55.91,56.66,55.49,56.63,16804644.0
2014-06-04,55.52,55.72,55.25,55.68,9728053.0
2014-06-03,55.09,55.66,55.09,55.6,9132297.0
2014-06-02,55.65,55.65,55.02,55.35,9440042.0
2014-05-30,55.58,55.88,55.31,55.57,11991312.0
2014-05-29,55.75,55.92,55.39,55.72,11741707.0
2014-05-28,55.09,55.6,55.0,55.45,11374958.0
2014-05-27,54.75,55.43,54.69,55.14,14503732.0
2014-05-23,54.55,54.58,54.16,54.53,10878697.0
2014-05-22,54.17,54.6,54.02,54.55,11801568.0
2014-05-21,54.05,54.6,53.98,54.12,13210922.0
2014-05-20,53.72,54.04,53.41,53.72,16888227.0
2014-05-19,53.08,53.91,53.06,53.83,12068854.0
2014-05-16,53.42,53.51,52.97,53.31,19993160.0
2014-05-15,54.2,54.2,53.35,53.51,19763012.0
2014-05-14,54.64,54.7,54.3,54.36,10334933.0
2014-05-13,54.74,54.83,54.5,54.62,12310881.0
2014-05-12,54.27,54.7,54.03,54.65,12825906.0
2014-05-09,54.22,54.31,53.68,54.01,12366481.0
2014-05-08,54.2,54.53,54.06,54.36,16091486.0
2014-05-07,53.55,54.12,53.24,54.05,18503048.0
2014-05-06,54.04,54.06,53.32,53.34,25327415.0
2014-05-05,53.88,54.74,53.7,54.22,25237392.0
2014-05-02,55.83,56.37,55.44,55.58,15153795.0
2014-05-01,55.92,56.19,55.5,55.72,12744643.0
2014-04-30,56.24,56.35,55.72,55.98,14388102.0
2014-04-29,55.73,56.3,55.57,56.1,13453407.0
2014-04-28,55.63,55.7,54.68,55.49,21394062.0
2014-04-25,56.31,56.35,55.64,55.7,15939621.0
2014-04-24,56.07,56.26,55.61,56.19,15368188.0
2014-04-23,55.8,56.12,55.56,56.05,11381029.0
2014-04-22,55.04,56.08,54.94,55.81,16265271.0
2014-04-21,55.26,55.41,54.99,55.03,12384757.0
2014-04-17,55.34,55.57,55.01,55.22,17955801.0
2014-04-16,55.0,55.35,54.69,55.26,27050795.0
2014-04-15,55.09,55.64,54.35,54.8,26693846.0
2014-04-14,55.85,55.94,54.48,54.96,31081491.0
