Date,Open,High,Low,Close,Volume
2014-09-30,42.1,42.81,42.08,42.66,22613730.0
2014-09-29,41.9,42.26,41.88,42.25,12446707.0
2014-09-26,42.0,42.25,41.71,42.2,9939569.0
2014-09-25,42.06,42.17,41.77,41.78,11076728.0
2014-09-24,41.85,42.34,41.85,42.27,13540935.0
2014-09-23,42.0,42.16,41.88,41.89,10252374.0
2014-09-22,41.85,42.25,41.73,42.22,11518108.0
2014-09-19,41.98,42.34,41.75,42.05,47559738.0
2014-09-18,41.75,41.88,41.55,41.79,12594172.0
2014-09-17,41.77,41.78,41.32,41.61,16703094.0
2014-09-16,41.29,41.8,41.18,41.64,15232844.0
2014-09-15,41.45,41.58,41.33,41.5,12259597.0
2014-09-12,41.9,41.92,41.36,41.46,12979948.0
2014-09-11,41.68,42.06,41.66,41.95,19615854.0
2014-09-10,41.9,42.19,41.83,42.17,17558019.0
2014-09-09,41.77,42.03,41.75,41.94,11892490.0
2014-09-08,41.67,41.94,41.63,41.78,9097707.0
2014-09-05,41.86,41.86,41.61,41.84,12768144.0
2014-09-04,41.8,42.17,41.73,41.87,16785311.0
2014-09-03,41.69,41.85,41.66,41.78,8644484.0
2014-09-02,41.52,41.84,41.31,41.64,9798704.0
2014-08-29,41.6,41.75,41.47,41.72,7666718.0
2014-08-28,41.51,41.7,41.44,41.63,9747093.0
2014-08-27,41.53,41.71,41.44,41.6,7701957.0
2014-08-26,41.41,41.7,41.41,41.6,8416524.0
2014-08-25,41.32,41.44,41.12,41.41,10229332.0
2014-08-22,41.29,41.52,41.05,41.12,11244643.0
2014-08-21,41.29,41.69,41.22,41.41,11951213.0
2014-08-20,41.15,41.34,41.09,41.25,6791695.0
2014-08-19,41.35,41.48,41.16,41.26,10261305.0
2014-08-18,40.79,41.42,40.79,41.35,14892233.0
2014-08-15,40.85,41.15,40.66,40.88,23221550.0
2014-08-14,39.93,40.19,39.93,40.18,6902023.0
2014-08-13,39.7,40.1,39.7,39.94,9646476.0
2014-08-12,39.56,39.84,39.54,39.68,13297538.0
2014-08-11,39.52,39.87,39.52,39.57,14102644.0
2014-08-08,39.34,39.58,39.26,39.45,13666969.0
2014-08-07,39.96,40.01,39.33,39.35,14367594.0
2014-08-06,39.13,39.96,39.13,39.92,17567544.0
2014-08-05,39.34,39.53,39.1,39.18,11639154.0
2014-08-04,39.41,39.46,39.12,39.4,11013475.0
2014-08-01,39.13,39.49,39.06,39.29,13568610.0
2014-07-31,39.53,39.73,39.25,39.29,15436851.0
2014-07-30,40.45,40.5,39.61,39.62,20346235.0
2014-07-29,40.75,40.78,40.35,40.35,10872629.0
2014-07-28,40.99,41.0,40.61,40.68,11709721.0
2014-07-25,40.92,41.04,40.81,41.0,10809949.0
2014-07-24,40.97,41.1,40.66,40.97,14856012.0
2014-07-23,40.98,41.05,40.63,40.81,17531713.0
2014-07-22,41.1,41.33,40.61,41.19,24707572.0
