Date,Open,High,Low,Close,Volume
2014-09-30,74.47,75.31,73.92,73.92,9354818.0
2014-09-29,74.15,74.89,73.79,74.52,3906008.0
2014-09-26,74.75,75.17,74.5,75.06,3767631.0
2014-09-25,76.54,76.64,74.72,74.72,5010437.0
2014-09-24,75.7,77.05,75.55,77.05,3623314.0
2014-09-23,75.98,76.25,75.5,75.51,3913477.0
2014-09-22,77.26,77.36,76.08,76.16,3433956.0
2014-09-19,77.94,78.37,77.24,77.28,8492598.0
2014-09-18,76.64,77.81,76.23,77.8,5790199.0
2014-09-17,76.88,76.9,75.47,76.22,5549418.0
2014-09-16,75.65,76.8,74.94,76.59,4870660.0
2014-09-15,75.19,75.42,74.78,75.24,4051608.0
2014-09-12,75.68,76.07,74.93,75.47,4240597.0
2014-09-11,76.32,76.45,75.41,75.62,4673567.0
2014-09-10,76.09,76.93,75.88,76.65,4188203.0
2014-09-09,76.26,76.51,75.69,76.07,4145245.0
2014-09-08,76.59,76.85,75.9,76.23,2845566.0
2014-09-05,76.19,76.93,75.86,76.86,3492143.0
2014-09-04,76.03,76.82,76.0,76.38,2680393.0
2014-09-03,76.1,76.19,75.73,75.94,2870740.0
2014-09-02,75.93,76.01,75.44,75.58,3617965.0
2014-08-29,76.3,76.48,75.73,75.81,3231583.0
2014-08-28,76.09,76.43,75.66,76.16,2991654.0
2014-08-27,77.02,77.12,76.5,76.64,1980770.0
2014-08-26,76.79,77.85,76.54,77.0,3849043.0
2014-08-25,77.11,77.21,76.39,76.43,3394912.0
2014-08-22,76.75,76.88,76.15,76.48,2500685.0
2014-08-21,76.51,77.12,76.29,76.99,2694676.0
2014-08-20,75.97,76.48,75.9,76.39,2612906.0
2014-08-19,76.75,76.8,76.09,76.4,3562280.0
2014-08-18,75.69,76.82,75.69,76.77,4030623.0
2014-08-15,76.41,76.57,74.98,75.21,4352006.0
2014-08-14,76.6,76.61,75.66,76.05,2411679.0
2014-08-13,75.85,76.51,75.59,76.3,3389621.0
2014-08-12,75.36,75.82,74.93,75.63,2752462.0
2014-08-11,75.54,76.07,74.99,75.63,3546770.0
2014-08-08,74.0,75.23,73.75,75.17,3614379.0
2014-08-07,75.54,75.68,73.82,74.06,4714460.0
2014-08-06,74.85,75.58,74.69,75.36,2783566.0
2014-08-05,75.31,75.66,74.81,75.2,4639026.0
2014-08-04,75.39,75.85,75.08,75.68,4923992.0
