Date,Open,High,Low,Close,Volume
2014-09-30,34.55,34.71,34.24,34.57,9795288.0
2014-09-29,34.19,34.59,34.02,34.5,8217977.0
2014-09-26,34.39,34.7,34.27,34.65,8237058.0
2014-09-25,35.1,35.1,34.06,34.22,12328240.0
2014-09-24,34.74,35.08,34.53,34.98,13351869.0
2014-09-23,35.21,35.56,34.99,35.02,10882299.0
2014-09-22,35.7,35.8,35.05,35.18,10144197.0
2014-09-19,36.41,36.44,35.72,35.76,29864622.0
2014-09-18,35.7,36.25,35.64,36.13,15158451.0
2014-09-17,35.19,35.78,35.1,35.56,10979777.0
2014-09-16,35.14,35.23,34.82,35.11,8498173.0
2014-09-15,34.97,35.23,34.76,35.21,9632689.0
2014-09-12,34.73,35.08,34.7,35.01,10244535.0
2014-09-11,34.12,34.75,34.1,34.73,6850217.0
2014-09-10,34.04,34.4,34.04,34.33,6451437.0
2014-09-09,34.44,34.44,33.82,33.91,11411173.0
2014-09-08,34.59,35.08,34.59,34.86,8149212.0
2014-09-05,34.42,34.64,33.94,34.63,10032464.0
2014-09-04,34.52,34.91,34.52,34.7,7326422.0
2014-09-03,34.74,34.99,34.48,34.56,7151473.0
2014-09-02,34.42,34.65,34.18,34.55,5115701.0
2014-08-29,34.15,34.51,34.08,34.31,4946707.0
2014-08-28,34.0,34.12,33.72,34.06,4459182.0
2014-08-27,34.49,34.5,34.05,34.13,5679878.0
2014-08-26,34.17,34.55,34.17,34.4,8462064.0
2014-08-25,33.68,34.57,33.68,34.2,13975807.0
2014-08-22,32.99,33.56,32.92,33.47,9082557.0
2014-08-21,32.66,33.05,32.5,33.03,7309125.0
2014-08-20,32.4,32.65,32.38,32.54,4234681.0
2014-08-19,32.69,32.84,32.53,32.53,4257034.0
2014-08-18,32.47,32.74,32.39,32.61,4925388.0
2014-08-15,32.28,32.71,31.98,32.22,9457909.0
2014-08-14,32.07,32.26,32.07,32.17,3974828.0
2014-08-13,32.15,32.26,32.01,32.02,4837895.0
2014-08-12,32.02,32.34,31.88,32.01,4525122.0
2014-08-11,31.99,32.3,31.77,32.08,6591186.0
2014-08-08,31.36,32.03,31.12,31.95,8514493.0
2014-08-07,31.74,31.84,31.22,31.36,6553115.0
2014-08-06,31.23,31.92,31.19,31.56,9099244.0
2014-08-05,31.7,31.95,31.29,31.41,9478467.0
2014-08-04,31.77,31.94,31.54,31.83,6942084.0
2014-08-01,32.18,32.33,31.44,31.6,11539879.0
2014-07-31,33.03,33.14,32.33,32.34,9134716.0
2014-07-30,32.77,33.49,32.75,33.34,10002410.0
2014-07-29,33.08,33.1,32.65,32.65,5717661.0
2014-07-28,33.2,33.38,32.87,33.07,7114925.0
2014-07-25,33.34,33.44,33.19,33.24,6292634.0
2014-07-24,33.43,33.6,33.24,33.4,6575520.0
2014-07-23,32.95,33.45,32.81,33.35,9363201.0
2014-07-22,32.61,33.12,32.61,32.91,8851583.0
2014-07-21,32.55,32.7,32.37,32.55,7125416.0
2014-07-18,32.45,32.78,32.23,32.64,9239453.0
2014-07-17,33.04,33.16,32.12,32.3,18525571.0
2014-07-16,32.27,32.61,32.14,32.5,16389289.0
2014-07-15,32.19,32.27,31.72,32.0,13818568.0
2014-07-14,32.11,32.16,31.74,31.81,11323129.0
2014-07-11,31.59,31.69,31.33,31.41,10112168.0
2014-07-10,31.25,31.74,31.2,31.68,7784865.0
2014-07-09,31.93,32.05,31.62,32.01,6292072.0
2014-07-08,32.19,32.24,31.47,31.75,9205621.0
2014-07-07,32.51,32.56,32.1,32.39,5635286.0
2014-07-03,32.73,33.07,32.62,32.62,5994198.0
2014-07-02,32.32,32.68,32.3,32.49,6190608.0
2014-07-01,32.41,32.59,32.22,32.32,7787590.0
2014-06-30,31.59,32.38,31.59,32.33,11757508.0
2014-06-27,31.75,31.97,31.53,31.55,9933909.0
2014-06-26,31.91,31.99,31.54,31.89,10559861.0
2014-06-25,31.91,32.32,31.86,32.23,7671758.0
2014-06-24,32.4,32.6,31.9,32.03,7776622.0
2014-06-23,32.43,32.61,32.15,32.52,6929933.0
2014-06-20,32.63,32.63,32.24,32.29,12071866.0
2014-06-19,32.78,32.82,32.3,32.54,6933717.0
2014-06-18,32.41,32.74,32.08,32.66,10725245.0
2014-06-17,31.64,32.61,31.61,32.5,13256291.0
2014-06-16,31.48,31.81,31.4,31.71,8527452.0
2014-06-13,31.79,31.89,31.48,31.59,8022255.0
2014-06-12,31.56,31.95,31.45,31.73,7086735.0
2014-06-11,31.9,31.9,31.54,31.69,5854239.0
2014-06-10,31.91,32.19,31.76,32.08,7113217.0
2014-06-09,31.95,32.26,31.86,31.98,9027794.0
2014-06-06,31.69,31.99,31.62,31.95,6544239.0
2014-06-05,31.27,31.66,30.97,31.63,8769365.0
2014-06-04,30.79,31.22,30.68,31.2,8074671.0
2014-06-03,30.71,30.86,30.4,30.85,10079512.0
2014-06-02,30.86,30.92,30.52,30.9,7509356.0
2014-05-30,30.94,31.04,30.69,30.86,7646374.0
2014-05-29,31.02,31.19,30.8,31.13,8616278.0
2014-05-28,31.19,31.23,30.9,30.93,6124364.0
2014-05-27,30.64,31.29,30.63,31.12,10959974.0
2014-05-23,30.4,30.52,30.35,30.49,5140011.0
2014-05-22,30.0,30.45,29.91,30.39,8235487.0
2014-05-21,29.86,30.11,29.85,30.01,6654834.0
2014-05-20,30.1,30.1,29.51,29.71,9958066.0
2014-05-19,29.92,30.38,29.88,30.16,7022432.0
2014-05-16,29.7,30.16,29.64,30.14,18005349.0
2014-05-15,30.02,30.12,29.26,29.77,20240122.0
2014-05-14,30.38,30.43,29.98,30.25,10047803.0
2014-05-13,30.29,30.52,30.19,30.33,7962736.0
2014-05-12,29.85,30.45,29.76,30.33,10196546.0
2014-05-09,29.5,29.73,29.33,29.68,10064732.0
2014-05-08,29.73,30.22,29.56,29.69,13039248.0
2014-05-07,29.6,29.76,29.02,29.7,12460769.0
2014-05-06,29.93,29.96,29.28,29.46,16285597.0
2014-05-05,30.25,30.3,29.72,30.07,12035090.0
2014-05-02,31.3,31.44,30.6,30.69,11465383.0
2014-05-01,30.91,31.3,30.87,31.22,10110191.0
2014-04-30,30.53,30.99,30.35,30.93,11016521.0
2014-04-29,30.15,30.57,30.05,30.52,10419650.0
2014-04-28,30.55,30.57,29.49,29.99,15303309.0
2014-04-25,30.77,30.89,30.46,30.58,8372927.0
2014-04-24,31.06,31.25,30.3,30.94,8438891.0
2014-04-23,31.24,31.3,30.84,31.04,9376657.0
2014-04-22,30.95,31.38,30.82,31.2,10803598.0
2014-04-21,30.97,31.1,30.6,30.98,10698998.0
2014-04-17,30.72,31.29,30.4,30.76,22965994.0
2014-04-16,29.88,29.98,29.41,29.89,14198027.0
2014-04-15,29.62,29.64,28.79,29.55,16657834.0
2014-04-14,28.78,29.16,28.68,29.06,12514483.0
2014-04-11,28.83,29.14,28.31,28.47,21453617.0
2014-04-10,30.27,30.28,29.17,29.25,13452408.0
2014-04-09,29.73,30.29,29.65,30.22,10692715.0
2014-04-08,29.59,29.63,29.1,29.53,13228592.0
2014-04-07,30.35,30.38,29.09,29.52,20367328.0
2014-04-04,31.15,31.26,30.36,30.37,12750965.0
2014-04-03,31.47,31.48,30.71,30.95,10064709.0
2014-04-02,31.22,31.59,31.02,31.41,14700869.0
2014-04-01,31.37,31.4,31.0,31.21,11583595.0
2014-03-31,31.18,31.46,30.97,31.17,9421645.0
2014-03-28,30.94,31.41,30.74,30.91,8081149.0
2014-03-27,31.14,31.45,30.59,30.9,13638426.0
2014-03-26,31.85,31.97,31.21,31.22,11233797.0
2014-03-25,32.57,32.57,31.56,31.59,12610322.0
2014-03-24,32.73,32.75,32.17,32.44,10400085.0
2014-03-21,33.23,33.25,32.37,32.6,23503898.0
2014-03-20,31.94,33.1,31.69,32.79,20199764.0
2014-03-19,31.65,32.07,31.39,31.81,9470327.0
2014-03-18,31.4,31.71,31.34,31.65,6614854.0
2014-03-17,31.37,31.74,31.3,31.37,6891091.0
2014-03-14,31.31,31.63,31.0,31.1,10855891.0
2014-03-13,31.54,31.99,31.23,31.44,22439666.0
2014-03-12,31.48,31.52,31.17,31.44,8308341.0
2014-03-11,32.22,32.25,31.62,31.7,9202969.0
2014-03-10,32.22,32.3,31.76,32.13,10757263.0
2014-03-07,32.7,32.71,32.07,32.21,14547381.0
2014-03-06,32.05,32.27,31.82,31.84,12623645.0
2014-03-05,31.11,32.04,30.87,31.97,14828813.0
2014-03-04,30.74,31.17,30.65,31.1,11178954.0
2014-03-03,30.24,30.44,29.93,30.26,12264026.0
2014-02-28,30.36,30.94,30.23,30.8,14171408.0
2014-02-27,29.87,30.48,29.67,30.36,10802929.0
2014-02-26,29.92,30.23,29.42,29.94,15094800.0
2014-02-25,30.26,30.36,29.56,29.71,11632619.0
2014-02-24,29.66,30.6,29.55,30.31,13224207.0
2014-02-21,29.32,29.82,29.32,29.62,10467732.0
2014-02-20,29.01,29.42,28.93,29.33,14150762.0
2014-02-19,29.55,29.65,28.89,28.96,17230050.0
2014-02-18,29.62,29.86,29.48,29.56,10921674.0
2014-02-14,29.92,30.0,29.61,29.69,10374958.0
2014-02-13,29.62,30.05,29.54,29.91,15741041.0
2014-02-12,30.31,30.55,30.02,30.16,9376128.0
2014-02-11,29.72,30.39,29.47,30.27,16101950.0
2014-02-10,29.66,29.94,29.59,29.7,7876060.0
2014-02-07,29.85,29.97,29.38,29.69,14848512.0
2014-02-06,29.26,29.88,29.14,29.69,14873387.0
2014-02-05,28.98,29.37,28.96,29.18,17399801.0
2014-02-04,28.97,29.42,28.82,29.02,18800814.0
2014-02-03,29.51,29.73,28.78,28.95,17608516.0
2014-01-31,29.51,29.81,29.28,29.51,13114108.0
2014-01-30,30.12,30.38,29.81,29.98,13159156.0
2014-01-29,29.33,30.27,29.28,29.94,18926515.0
2014-01-28,29.8,30.32,29.65,30.13,15797863.0
2014-01-27,30.42,30.64,29.43,29.97,16834654.0
2014-01-24,31.33,31.37,30.09,30.45,23629129.0
2014-01-23,32.25,32.27,31.14,31.48,16345750.0
2014-01-22,32.71,32.97,32.28,32.29,12202835.0
2014-01-21,33.21,33.49,32.5,32.63,18535729.0
2014-01-17,32.84,33.52,32.6,33.4,32197936.0
2014-01-16,32.03,32.07,31.53,32.0,21899846.0
2014-01-15,31.76,32.24,31.44,32.22,17610311.0
2014-01-14,30.76,31.22,30.6,31.1,13721984.0
2014-01-13,31.3,31.52,30.75,30.87,9605058.0
2014-01-10,31.58,31.63,31.1,31.3,10571296.0
2014-01-09,31.66,31.74,31.36,31.55,7322294.0
2014-01-08,31.56,31.84,31.37,31.56,8930184.0
2014-01-07,31.8,31.89,31.41,31.52,9246079.0
2014-01-06,31.75,31.93,31.48,31.62,9031669.0
2014-01-03,31.17,31.7,31.13,31.51,7811091.0
2014-01-02,31.33,31.46,30.98,31.03,9843424.0
2013-12-31,30.89,31.42,30.87,31.36,8458176.0
2013-12-30,31.07,31.25,30.74,30.85,6201517.0
2013-12-27,31.12,31.22,30.95,31.06,4116365.0
2013-12-26,31.03,31.25,30.95,31.1,5408746.0
2013-12-24,31.09,31.17,30.73,31.01,4545666.0
2013-12-23,31.15,31.24,31.0,31.11,7199517.0
