Date,Open,High,Low,Close,Volume
2014-09-30,211.17,214.02,211.02,213.37,2866187.0
2014-09-29,210.21,211.46,209.12,210.93,2197241.0
2014-09-26,211.45,212.22,210.56,211.94,1794826.0
2014-09-25,214.04,214.27,210.42,210.71,2933067.0
2014-09-24,212.78,215.0,212.25,214.41,2084926.0
2014-09-23,213.9,213.9,212.46,212.46,1990891.0
2014-09-22,216.98,216.98,213.75,213.88,2269942.0
2014-09-19,217.69,218.15,215.49,216.25,5118888.0
2014-09-18,215.93,216.68,215.14,216.44,2307133.0
2014-09-17,217.0,217.49,213.7,215.53,3081903.0
2014-09-16,214.91,217.78,213.65,217.3,2303031.0
2014-09-15,213.85,215.61,213.85,214.64,1759775.0
2014-09-12,214.88,215.75,212.75,214.04,2177744.0
2014-09-11,216.7,216.75,214.45,214.95,2218460.0
2014-09-10,214.07,218.65,214.04,216.88,3161719.0
2014-09-09,215.29,215.47,214.0,214.28,1832205.0
2014-09-08,214.01,216.22,213.5,215.77,2568804.0
2014-09-05,214.36,214.37,213.1,214.21,2050741.0
2014-09-04,215.44,216.12,214.0,214.26,2373138.0
2014-09-03,215.07,216.16,214.31,214.9,1947222.0
2014-09-02,213.41,214.97,212.71,214.73,2019354.0
2014-08-29,214.56,215.0,212.1,212.52,3661517.0
2014-08-28,215.0,215.74,213.77,214.6,2770864.0
2014-08-27,217.12,217.53,215.29,217.13,2008895.0
2014-08-26,216.49,218.0,216.18,216.73,1735994.0
2014-08-25,217.2,217.32,215.85,216.02,1240814.0
2014-08-22,216.2,216.95,215.3,216.09,1790785.0
2014-08-21,216.5,216.97,215.71,215.75,1388127.0
2014-08-20,214.58,216.44,214.43,216.2,1824247.0
2014-08-19,214.75,215.69,214.13,215.0,2055029.0
2014-08-18,211.49,214.43,211.27,214.32,2091356.0
2014-08-15,212.89,213.32,209.93,210.19,2249862.0
2014-08-14,212.09,212.59,211.31,212.52,1784195.0
2014-08-13,210.95,212.1,210.46,211.43,1614513.0
2014-08-12,210.09,211.2,209.45,210.3,1610504.0
2014-08-11,211.04,211.22,210.03,210.58,2257358.0
2014-08-08,208.88,210.55,208.21,210.46,2318163.0
2014-08-07,211.18,211.45,208.6,209.04,2396629.0
2014-08-06,209.98,211.38,209.81,210.69,1882116.0
2014-08-05,211.5,212.39,209.17,210.54,2787805.0
2014-08-04,212.85,213.17,211.52,212.16,2022251.0
2014-08-01,209.87,213.06,209.78,211.81,3525127.0
2014-07-31,213.27,213.36,211.01,211.01,3468877.0
2014-07-30,213.49,214.79,213.45,214.06,2608880.0
2014-07-29,214.4,215.71,213.33,213.5,2645366.0
2014-07-28,214.42,214.96,213.12,214.22,2601312.0
2014-07-25,214.1,216.7,211.34,214.77,6882568.0
2014-07-24,223.39,223.85,221.83,222.74,2986894.0
2014-07-23,221.49,222.54,220.68,221.2,2049724.0
2014-07-22,220.92,222.59,220.61,221.26,1924780.0
2014-07-21,219.53,220.13,218.51,219.22,1543832.0
2014-07-18,219.18,221.89,218.92,220.2,2770898.0
2014-07-17,221.94,222.0,217.83,217.88,2458060.0
2014-07-16,222.94,223.16,221.08,222.67,2213522.0
2014-07-15,221.67,224.75,220.9,221.78,2725504.0
2014-07-14,218.75,222.36,217.65,221.03,3431253.0
2014-07-11,215.95,217.04,214.37,217.0,1428980.0
2014-07-10,213.8,216.89,212.68,215.54,2134176.0
2014-07-09,215.5,216.28,214.51,216.16,1294542.0
2014-07-08,216.77,216.89,213.15,215.26,3039516.0
2014-07-07,216.43,217.55,215.64,216.74,1658637.0
2014-07-03,215.31,217.0,215.1,216.51,1392910.0
2014-07-02,214.88,215.49,214.25,214.84,1445167.0
2014-07-01,211.95,215.35,211.83,214.25,2748821.0
2014-06-30,208.66,211.74,208.5,210.71,2496418.0
2014-06-27,208.1,209.9,207.86,209.28,3240324.0
2014-06-26,209.83,209.86,207.56,208.96,2145152.0
2014-06-25,207.31,210.49,207.31,209.06,2064135.0
2014-06-24,209.27,210.59,207.38,207.79,3275418.0
2014-06-23,209.0,209.81,208.18,209.47,3691306.0
2014-06-20,211.52,212.12,209.1,209.49,4592910.0
2014-06-19,211.47,212.16,208.02,210.32,3832829.0
2014-06-18,210.45,211.25,209.03,211.25,2583192.0
2014-06-17,210.14,211.92,209.9,210.81,1432129.0
2014-06-16,210.88,210.99,209.97,210.24,1977324.0
2014-06-13,211.87,212.07,210.85,211.29,1771301.0
2014-06-12,212.39,213.17,211.23,211.77,1554511.0
2014-06-11,212.99,213.91,212.12,212.68,1691861.0
2014-06-10,213.0,214.78,212.75,214.25,1712913.0
2014-06-09,213.49,213.99,211.63,212.58,1379109.0
2014-06-06,212.53,213.4,211.61,213.0,2500729.0
2014-06-05,212.12,212.5,210.62,212.22,1649403.0
2014-06-04,211.16,211.43,209.45,211.43,3150323.0
2014-06-03,213.03,213.23,210.8,211.32,2252974.0
2014-06-02,215.37,215.69,212.84,213.52,1595925.0
2014-05-30,215.88,215.95,213.33,214.83,1535676.0
2014-05-29,214.0,214.69,213.5,214.67,1315083.0
2014-05-28,214.5,214.5,213.0,213.8,1805820.0
2014-05-27,212.99,214.52,212.82,214.5,2419383.0
2014-05-23,209.99,212.27,209.7,212.07,2782013.0
2014-05-22,210.13,210.28,208.7,209.37,4217504.0
2014-05-21,208.85,210.67,208.59,210.1,2274146.0
2014-05-20,210.32,210.32,207.4,207.92,2188195.0
2014-05-19,209.38,210.98,208.85,210.36,1759928.0
2014-05-16,207.59,210.09,207.59,209.81,3070977.0
2014-05-15,209.0,209.69,206.42,207.45,3174507.0
2014-05-14,211.2,211.88,209.86,209.86,1713197.0
2014-05-13,211.99,212.69,211.4,212.06,1784388.0
