Date,Open,High,Low,Close,Volume
2014-09-30,51.8,52.18,51.71,51.87,16669890.0
2014-09-29,51.67,51.92,51.38,51.69,9995318.0
2014-09-26,51.45,51.92,51.35,51.87,10753403.0
2014-09-25,52.1,52.17,51.41,51.41,16684920.0
2014-09-24,52.22,52.29,51.88,52.13,18245166.0
2014-09-23,52.85,53.04,52.09,52.1,20596549.0
2014-09-22,53.26,53.5,52.82,52.9,13445695.0
2014-09-19,53.6,53.8,53.22,53.36,22553812.0
2014-09-18,52.63,53.38,52.63,53.24,16388313.0
2014-09-17,52.39,52.85,52.17,52.51,16919068.0
2014-09-16,51.78,52.48,51.78,52.31,10524636.0
2014-09-15,51.73,52.16,51.66,51.94,10414820.0
2014-09-12,51.67,52.03,51.52,51.7,12575559.0
2014-09-11,51.4,51.72,51.32,51.59,9073152.0
2014-09-10,51.08,51.62,51.06,51.52,11381362.0
2014-09-09,51.23,51.36,51.0,51.07,10744965.0
2014-09-08,51.48,51.73,51.34,51.47,7746935.0
2014-09-05,51.38,51.65,51.16,51.65,12102464.0
2014-09-04,51.49,51.92,51.4,51.57,8306187.0
2014-09-03,51.75,52.03,51.4,51.55,7735474.0
2014-09-02,51.71,51.71,51.24,51.57,9990261.0
2014-08-29,51.26,51.47,51.18,51.44,8863186.0
2014-08-28,51.21,51.28,51.0,51.15,7717998.0
2014-08-27,51.65,51.7,51.26,51.34,8315784.0
2014-08-26,51.57,51.69,51.47,51.56,7027261.0
2014-08-25,51.48,51.75,51.41,51.45,8665609.0
2014-08-22,51.34,51.59,51.13,51.18,9210366.0
2014-08-21,51.0,51.4,50.9,51.29,10102238.0
2014-08-20,50.79,50.94,50.64,50.85,8402875.0
2014-08-19,50.77,51.09,50.75,50.86,8718438.0
2014-08-18,50.47,50.73,50.4,50.69,9913676.0
2014-08-15,50.5,50.62,49.86,50.21,13297171.0
2014-08-14,50.11,50.49,50.06,50.38,11904287.0
2014-08-13,50.02,50.12,49.84,49.99,12283076.0
2014-08-12,49.86,50.27,49.75,49.78,15220199.0
2014-08-11,50.08,50.25,49.78,49.89,14666438.0
2014-08-08,49.73,50.04,49.47,50.0,14563206.0
2014-08-07,50.34,50.4,49.6,49.7,14109106.0
2014-08-06,49.87,50.52,49.83,50.06,15271471.0
2014-08-05,50.73,50.93,50.26,50.4,12767174.0
2014-08-04,50.55,51.03,50.52,50.99,13380139.0
2014-08-01,50.5,51.11,50.23,50.35,18813664.0
2014-07-31,51.86,51.88,50.89,50.9,19642204.0
2014-07-30,51.73,52.3,51.69,52.1,11439613.0
2014-07-29,51.65,52.15,51.48,51.54,14511806.0
2014-07-28,51.31,51.7,51.17,51.6,13468087.0
2014-07-25,51.49,51.77,51.49,51.6,10049617.0
2014-07-24,51.45,51.66,51.42,51.59,9939644.0
2014-07-23,51.43,51.62,51.27,51.33,9109271.0
2014-07-22,51.2,51.48,51.05,51.35,11921095.0
2014-07-21,51.0,51.15,50.85,51.05,15236909.0
2014-07-18,50.97,51.36,50.79,51.28,15487363.0
2014-07-17,51.08,51.12,50.61,50.68,24397990.0
2014-07-16,51.58,51.66,51.05,51.17,21620944.0
2014-07-15,51.51,51.66,51.2,51.35,19309485.0
2014-07-14,51.41,51.84,51.14,51.31,21252445.0
2014-07-11,51.13,51.67,50.82,51.49,29998928.0
2014-07-10,51.78,51.96,51.53,51.81,20066748.0
2014-07-09,52.3,52.3,51.91,52.19,16116261.0
2014-07-08,52.3,52.45,52.1,52.25,17282061.0
2014-07-07,52.9,52.98,52.45,52.5,13551827.0
2014-07-03,52.89,53.08,52.83,53.0,8741520.0
2014-07-02,52.76,52.84,52.55,52.66,14443481.0
2014-07-01,52.73,52.95,52.62,52.72,12482622.0
2014-06-30,52.74,52.76,52.4,52.56,12928410.0
2014-06-27,52.23,52.9,52.15,52.9,16864488.0
2014-06-26,52.62,52.66,52.0,52.37,12545902.0
2014-06-25,52.29,52.74,52.07,52.6,12815271.0
2014-06-24,52.93,52.99,52.42,52.49,11226323.0
2014-06-23,52.7,53.05,52.53,52.98,13122484.0
2014-06-20,52.38,52.91,52.27,52.89,29836531.0
2014-06-19,52.0,52.2,51.93,52.02,16335003.0
2014-06-18,51.69,52.14,51.52,52.04,18077144.0
2014-06-17,51.03,51.75,50.98,51.66,15470782.0
2014-06-16,51.88,51.89,50.94,51.09,16310453.0
