Date,AAPL,AMZN,BAC,C,F,GE,GOOG,INTC,JPM,KO,MA,MRK,MS,MSFT,PG,V,WFC,XOM
2014-09-30,55264139.0,2584383.0,82217388.0,21354297.0,115056660.0,40800825.0,1618437.0,35274555.0,14090722.0,22613730.0,9354818.0,9247293.0,9795288.0,33033086.0,8080639.0,2866187.0,16669890.0,15579333.0
2014-09-29,49766312.0,1929589.0,68038311.0,13010419.0,82938687.0,30747559.0,1281204.0,29003106.0,10694938.0,12446707.0,3906008.0,8721059.0,8217977.0,26090980.0,6362241.0,2197241.0,9995318.0,14023092.0
2014-09-26,62370501.0,3639155.0,66785876.0,10481508.0,20432094.0,28931908.0,1439807.0,25883498.0,11948887.0,9939569.0,3767631.0,10786298.0,8237058.0,27078764.0,5482722.0,1794826.0,10753403.0,11256807.0
2014-09-25,100091990.0,2934944.0,104522487.0,19267206.0,19054868.0,30686909.0,1925350.0,34644687.0,16346724.0,11076728.0,5010437.0,8700414.0,12328240.0,33077385.0,8212325.0,2933067.0,16684920.0,12854240.0
2014-09-24,60171828.0,2647232.0,86396124.0,15611620.0,22021636.0,34059709.0,1724537.0,18829270.0,13728243.0,13540935.0,3623314.0,11467441.0,13351869.0,26582713.0,11694662.0,2084926.0,18245166.0,12200003.0
2014-09-23,63402196.0,2353590.0,91921935.0,14586137.0,28285137.0,21684802.0,1467703.0,25691469.0,14335620.0,10252374.0,3913477.0,8018477.0,10882299.0,33431078.0,7723459.0,1990891.0,20596549.0,10300659.0
2014-09-22,52788426.0,3118649.0,109276696.0,16657044.0,23800260.0,23005682.0,1687710.0,25448163.0,13225164.0,11518108.0,3433956.0,9323346.0,10144197.0,38686091.0,8397142.0,2269942.0,13445695.0,8824870.0
2014-09-19,70902406.0,6886382.0,88455049.0,22154768.0,35008506.0,38246240.0,3727045.0,46860142.0,18740479.0,47559738.0,8492598.0,14484992.0,29864622.0,202526536.0,11380809.0,5118888.0,22553812.0,18178477.0
2014-09-18,37299435.0,2577706.0,111923229.0,27309035.0,19453018.0,31598150.0,1442012.0,23815486.0,16973697.0,12594172.0,5790199.0,8004138.0,15158451.0,35556632.0,5309232.0,2307133.0,16388313.0,8636631.0
2014-09-17,60926498.0,4138950.0,82902719.0,20380500.0,25366299.0,29613666.0,1690994.0,26278958.0,15092042.0,16703094.0,5549418.0,10271199.0,10979777.0,38311924.0,8277298.0,3081903.0,16919068.0,8777778.0
2014-09-16,66908133.0,3265860.0,65017235.0,13221509.0,23772607.0,27482919.0,1478306.0,20878492.0,10950516.0,15232844.0,4870660.0,9045379.0,8498173.0,27910571.0,7146245.0,2303031.0,10524636.0,11582529.0
2014-09-15,61316516.0,4006918.0,87306899.0,12808745.0,23691587.0,15347196.0,1596224.0,22438275.0,10685630.0,12259597.0,4051608.0,7739412.0,9632689.0,37667644.0,7008544.0,1759775.0,10414820.0,10694860.0
2014-09-12,64096903.0,3429727.0,117118283.0,18335563.0,16512713.0,24639215.0,1597677.0,26733700.0,14373722.0,12979948.0,4240597.0,7025122.0,10244535.0,38247122.0,6367223.0,2177744.0,12575559.0,10270116.0
2014-09-11,62399743.0,2721893.0,106951724.0,14084267.0,14670061.0,22606456.0,1217721.0,21958239.0,11468573.0,19615854.0,4673567.0,7787135.0,6850217.0,29216560.0,6345118.0,2218460.0,9073152.0,10181311.0
2014-09-10,100869587.0,3798904.0,75656101.0,13014287.0,16644382.0,19110019.0,975145.0,19964378.0,9157691.0,17558019.0,4188203.0,9216458.0,6451437.0,27304409.0,6722192.0,3161719.0,11381362.0,12113689.0
2014-09-09,189846255.0,4646832.0,82428852.0,14586166.0,26656592.0,21666372.0,1286722.0,22334672.0,14868683.0,11892490.0,4145245.0,7450954.0,11411173.0,40302386.0,5206752.0,1832205.0,10744965.0,9762259.0
2014-09-08,46356742.0,2960693.0,99411156.0,13562535.0,47565253.0,20379749.0,1429101.0,24860766.0,8090047.0,9097707.0,2845566.0,8420758.0,8149212.0,45736730.0,4899613.0,2568804.0,7746935.0,10080099.0
2014-09-05,58457035.0,2111220.0,80974901.0,17488894.0,29801662.0,21041614.0,1629477.0,20842220.0,9600894.0,12768144.0,3492143.0,10744174.0,10032464.0,36939360.0,5889038.0,2050741.0,12102464.0,9486572.0
2014-09-04,85718221.0,3965557.0,56378610.0,15695769.0,20733686.0,26891844.0,1459956.0,27633583.0,9811903.0,16785311.0,2680393.0,10810905.0,7326422.0,26478082.0,7444413.0,2373138.0,8306187.0,9662876.0
2014-09-03,125420521.0,1998540.0,67418919.0,15118118.0,25723888.0,19962188.0,1214586.0,26668973.0,11792109.0,8644484.0,2870740.0,9096215.0,7151473.0,33689341.0,5851788.0,1947222.0,7735474.0,8481019.0
2014-09-02,53564262.0,2328881.0,59400412.0,11454605.0,18538339.0,24386705.0,1576830.0,32095584.0,8678222.0,9798704.0,3617965.0,6054466.0,5115701.0,22976775.0,5528875.0,2019354.0,9990261.0,8966533.0
2014-08-29,44595247.0,1939848.0,50106605.0,8982315.0,15374784.0,21918073.0,1081231.0,32305331.0,8903530.0,7666718.0,3231583.0,5715779.0,4946707.0,21608625.0,4901408.0,3661517.0,8863186.0,8873707.0
2014-08-28,68459801.0,2254725.0,62170376.0,10259774.0,16855014.0,13441758.0,1295963.0,18908864.0,9096101.0,9747093.0,2991654.0,5241181.0,4459182.0,17657643.0,4283148.0,2770864.0,7717998.0,6072738.0
2014-08-27,52369011.0,2961767.0,63061789.0,13402767.0,18221103.0,21176518.0,1700161.0,17168931.0,11410860.0,7701957.0,1980770.0,6547311.0,5679878.0,21287931.0,4248518.0,2008895.0,8315784.0,5849223.0
